College,Id,Total Offense,Rushing Offense,Passing Offense,Team Passing Efficiency,Scoring Offense,Total Defense,Rushing Defense,Passing Yards Allowed,Team Passing Efficiency Defense,Scoring Defense,Turnover Margin,3rd Down Conversion Pct,4th Down Conversion Pct,3rd Down Conversion Pct Defense,4th Down Conversion Pct Defense,Red Zone Offense,Red Zone Defense,Net Punting,Punt Returns,Kickoff Returns,First Downs Offense,First Downs Defense,Fewest Penalties Per Game,Fewest Penalty Yards Per Game,Time of Possession
Louisiana–Monroe,557338,320.9,146.1,174.8,109.20,17.3,445.8,170.9,274.9,152.27,34.9,0.08,0.324,0.346,0.509,0.571,0.622,0.855,37.98,9.38,17.00,190,298,5.92,53.58,27:13
Louisiana Tech,557272,384.7,123.8,260.9,133.05,25.9,418.2,232.8,185.3,129.09,33.4,-0.75,0.305,0.500,0.409,0.636,0.897,0.930,39.35,8.23,19.24,243,249,6.83,62.33,29:45
Louisville,557274,415.1,178.5,236.6,145.32,30.7,317.1,99.8,217.3,128.16,21.3,0.07,0.374,0.542,0.298,0.440,0.808,0.676,37.60,4.39,20.21,292,222,5.57,48.64,32:13
LSU,557270,543.5,204.5,338.9,192.53,45.5,416.6,161.0,255.6,143.58,28.0,0.46,0.550,0.400,0.448,0.433,0.908,0.891,40.19,10.57,19.00,336,274,6.08,51.69,28:51
Marshall,557277,358.5,132.3,226.2,121.73,22.8,376.5,155.5,221.0,127.71,28.7,-0.85,0.313,0.240,0.324,0.429,0.738,0.740,36.00,2.11,26.30,238,241,6.46,58.23,29:26
Maryland,557279,387.3,108.4,278.9,141.44,29.7,334.1,125.5,208.6,117.37,22.5,0.23,0.436,0.684,0.339,0.629,0.846,0.804,36.88,8.42,19.70,273,268,5.54,56.54,28:12
Memphis,557286,458.5,152.0,306.5,154.79,39.4,423.2,155.2,268.0,141.84,28.8,0.38,0.453,0.643,0.333,0.290,0.873,0.833,38.42,7.87,21.77,296,261,4.08,41.23,31:08
Miami (FL),557291,431.2,173.2,258.0,140.51,31.5,321.6,105.6,216.0,123.65,22.8,-0.31,0.411,0.524,0.358,0.429,0.846,0.875,39.71,6.58,23.97,286,223,6.08,57.77,31:39
Miami (OH),557288,323.5,158.1,165.4,135.95,25.6,330.4,132.2,198.1,117.83,15.9,0.00,0.361,0.308,0.297,0.438,0.922,0.738,43.16,12.46,18.22,215,255,4.71,39.07,29:45
Michigan,557297,382.7,169.1,213.7,165.77,35.9,247.0,90.0,157.0,100.53,10.4,1.27,0.428,0.773,0.291,0.324,0.894,0.720,41.38,10.06,14.76,298,199,3.00,27.47,32:14
Michigan State,557294,289.3,89.5,199.8,116.79,15.9,388.8,151.0,237.8,143.97,28.3,-0.50,0.309,0.500,0.351,0.714,0.880,0.824,41.78,6.85,17.76,199,254,7.00,60.67,28:08
Middle Tennessee,557301,391.1,125.1,266.0,139.96,24.2,395.6,146.1,249.5,131.98,28.1,-0.42,0.398,0.455,0.448,0.562,0.811,0.848,38.57,10.91,17.43,232,254,6.75,56.25,28:32
Minnesota,557304,300.9,157.5,143.4,112.62,20.9,368.4,149.1,219.3,136.93,26.7,0.15,0.352,0.824,0.460,0.800,0.949,0.953,40.42,11.75,14.48,237,240,3.00,27.08,31:52
Mississippi State,557305,328.6,146.8,181.8,118.90,21.8,350.6,145.9,204.7,144.88,26.6,-0.17,0.308,0.417,0.341,0.571,0.795,0.917,38.90,11.81,23.91,199,220,6.25,56.83,28:44
Missouri,557310,434.3,172.0,262.3,157.76,32.5,336.1,122.8,213.2,132.38,20.8,0.77,0.426,0.733,0.369,0.667,0.966,0.821,39.40,7.89,19.15,284,234,7.15,54.54,30:25
